Category,Titles,Chapters,Sections,Sub-sections,Sub-sub-sections,Details,Notes,URL
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""Configuring an OpenShift cluster with cluster configurations by using OpenShift GitOps and creating and synchronizing applications in the default and code mode by using the GitOps CLI"")",,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""Chapter 1. Configuring an OpenShift cluster by deploying an application with cluster configurations"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.1. Prerequisites"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.2. Using an Argo CD instance to manage cluster-scoped resources"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.3. Default permissions of an Argo CD instance"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.4. Running the Argo CD instance at the cluster-level"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.5. Creating an application by using the Argo CD dashboard"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.6. Creating an application by using the oc tool"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.7. Creating an application in the default mode by using the GitOps CLI"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.8. Creating an application in core mode by using the GitOps CLI"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.9. Synchronizing your application with your Git repository"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.10. Synchronizing an application in the default mode by using the GitOps CLI"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.11. Synchronizing an application in core mode by using the GitOps CLI"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.12. In-built permissions for cluster configuration"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.13. Adding permissions for cluster configuration"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.14. Installing OLM Operators using Red Hat OpenShift GitOps"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.14.1. Installing cluster-scoped Operators"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.14.2. Installing namepace-scoped Operators"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.15. Configuring respectRBAC using Red Hat OpenShift GitOps"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.15.1. Configuring respectRBAC using the CLI"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.15.2. Configuring respectRBAC by using the web console"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""1.16. Additional resources"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""Chapter 2. Customizing permissions by creating user-defined cluster roles for cluster-scoped instances"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""2.1. Prerequisites"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""2.2. Disabling the creation of the default cluster roles for the cluster-scoped instance"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""2.3. Customizing permissions for cluster-scoped instances"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""2.4. Additional resources"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""Chapter 3. Customizing permissions by creating aggregated cluster roles"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""3.1. Aggregated cluster roles"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""3.2. Prerequisites"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""3.3. Creating aggregated cluster roles"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""3.3.1. Enable the creation of aggregated cluster roles"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""3.3.2. Create user-defined cluster roles and configure user-defined permissions"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""3.4. Enabling the creation of aggregated cluster roles"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""3.5. Creating user-defined cluster roles and configuring user-defined permissions for Application Controller"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""3.6. Additional resources"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""Chapter 4. Sharding clusters across Argo CD Application Controller replicas"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""4.1. Enabling the round-robin sharding algorithm"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""4.1.1. Enabling the round-robin sharding algorithm in the web console"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""4.1.2. Enabling the round-robin sharding algorithm by using the CLI"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""4.2. Enabling dynamic scaling of shards of the Argo CD Application Controller"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""4.2.1. Enabling dynamic scaling of shards in the web console"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/declarative_cluster_configuration"",""4.2.2. Enabling dynamic scaling of shards by using the CLI"")",,,,
,,,,,,,,
,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_architecture"",""Argo CD Agent architecture"")",,,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_architecture"",""Describes the architecture and terminology used in the Argo CD Agent, detailing how agent-based GitOps communication and synchronization works between the control plane and workload clusters."")",,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_architecture"",""Chapter 1. Argo CD Agent architecture overview"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_architecture"",""1.1. Introduction to the Argo CD Agent architecture"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_architecture"",""1.2. Architecture and Terminology"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_architecture"",""1.3. Comparing Argo CD Agent with traditional Argo CD architecture"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_architecture"",""1.4. Synchronization mechanism between the control plane and workload clusters"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_architecture"",""1.5. Argo CD Agent modes"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_architecture"",""1.5.1. Argo CD Agent Managed mode"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_architecture"",""1.5.2. Argo CD Agent Autonomous mode"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_architecture"",""1.6. Security and Authentication"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_architecture"",""1.7. Application Management Across Namespaces"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_architecture"",""1.8. Known Limitations"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_architecture"",""1.9. Additional resources"")",,,,,
,,,,,,,,
,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""Argo CD Agent installation"")",,,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""Installing and deploying the Argo CD Agent, enabling the Argo CD Agent in different modes by using a helm chart."")",,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""Chapter 1. Installing Argo CD Agent"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""1.1. Prerequisites"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""1.2. Argo CD Agent Terminologies"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""1.3. Installing the Principal component"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""1.4. Setting up a spoke cluster environment"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""1.5. Installing the Argo CD Agent in managed mode by using a Helm chart"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""1.6. Installing the Argo CD Agent in autonomous mode by using a Helm chart"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""1.7. Verifying the Argo CD Agent installation in Managed Mode or Autonomous Mode"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""1.8. Deploying Argo CD applications"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""1.8.1. Deploying an Argo CD application in managed mode"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""1.8.2. Deploying an Argo CD application in autonomous mode"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""1.9. Troubleshooting Principal-Agent communication and deployment issues"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_agent_installation"",""1.10. Additional resources"")",,,,,
,,,,,,,,
Progressive delivery,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""Argo Rollouts"")",,,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""Using Argo Rollouts for progressive delivery"")",,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""Chapter 1. Argo Rollouts overview"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""1.1. Why use Argo Rollouts?"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""1.1.1. Benefits of Argo Rollouts"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""1.2. About RolloutManager custom resources and specification"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""1.2.1. Argo Rollouts controller"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""1.3. Argo Rollouts architecture overview"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""1.3.1. Argo Rollouts components"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""1.3.2. Argo Rollouts resources"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""1.4. Argo Rollouts CLI overview"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""1.5. Additional resources"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""Chapter 2. Using Argo Rollouts for progressive deployment delivery"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""2.1. Prerequisites"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""2.2. Creating a RolloutManager custom resource"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""2.3. Deleting a RolloutManager custom resource"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""2.4. Installing Argo Rollouts CLI on Linux"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""2.5. Installing Argo Rollouts CLI on Mac OS"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""2.6. Enabling Argo Rollouts UI on an Argo CD instance"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""2.7. Additional resources"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""Chapter 3. Getting started with Argo Rollouts"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""3.1. Prerequisites"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""3.2. Deploying a rollout"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""3.3. Updating the rollout"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""3.4. Promoting the rollout"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""3.5. Manually aborting the rollout"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""3.6. Additional resources"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""Chapter 4. Routing traffic by using Argo Rollouts"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""4.1. Prerequisites"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""4.2. Configuring Argo Rollouts to route traffic by using OpenShift Routes"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""4.3. Additional resources"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""Chapter 5. Routing traffic by using Argo Rollouts for OpenShift Service Mesh"")",,,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts#sample-deployment-scenario"",""Sample deployment scenario"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""5.1. Configuring Argo Rollouts to route traffic by using OpenShift Service Mesh"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""Chapter 6. Enabling support for a namespace-scoped Argo Rollouts installation"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""6.1. Configuring a namespace-scoped Argo Rollouts installation"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""Chapter 7. Configuring traffic management and metric plugins in Argo Rollouts"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""7.1. Prerequisites"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""7.2. Enabling traffic management and metric plugins in Argo Rollouts"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""7.3. Additional resources"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""Chapter 8. Enabling high availability support for Argo Rollouts"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""8.1. Configuring high availability for Argo Rollouts"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""Chapter 9. Using a cluster-scoped Argo Rollouts instance to manage rollout resources"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""9.1. Prerequisites"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""9.2. Configuring a cluster-scoped Argo Rollouts instance to manage rollout resources"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_rollouts"",""9.3. Additional resources"")",,,,,
,,,,,,,,
Security,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""Security"")",,,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""Using security features to configure secure communication and protect the possibly sensitive data in transit"")",,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""Chapter 1. Configuring secure communication with Redis"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""1.1. Prerequisites"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""1.2. Configuring TLS for Redis with autotls enabled"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""1.3. Configuring TLS for Redis with autotls disabled"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""Chapter 2. Managing secrets securely using Secrets Store CSI driver with GitOps"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""2.1. Overview of managing secrets using Secrets Store CSI driver with GitOps"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""2.1.1. Benefits"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""2.2. Secrets store providers"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""2.3. Configure AWS Secrets Manager on OpenShift with GitOps"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""2.3.1. Storing AWS Secrets Manager resources in GitOps repository"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""2.3.2. Configuring SSCSI driver to mount secrets from AWS Secrets Manager"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""2.3.3. Configuring GitOps managed resources to use mounted secrets"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""2.4. Configure HashiCorp Vault as a secrets provider on OpenShift with GitOps"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""2.4.1. Installing the Vault CSI Provider using GitOps"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""2.4.2. Initializing and configuring Vault to store a Secret"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""2.4.3. Managing Secrets, Policies, and Roles in Vault"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""2.4.4. Configuring GitOps managed resources to use Vault-mounted secrets"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""2.4.5. Verifying secret injection"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""2.5. Additional resources"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""Chapter 3. Masking sensitive annotations in the Argo CD Web UI"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""3.1. Enabling sensitive annotations masking in the Argo CD Web UI"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/security"",""3.2. Additional resources"")",,,,,
,,,,,,,,
Reference,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/gitops_cli_argocd_reference"",""GitOps CLI (argocd) reference"")",,,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/gitops_cli_argocd_reference"",""Configuring the GitOps CLI and logging in to the Argo CD server in the default mode"")",,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/gitops_cli_argocd_reference"",""Chapter 1. Configuring the GitOps CLI"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/gitops_cli_argocd_reference"",""1.1. Enabling tab completion"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/gitops_cli_argocd_reference"",""1.2. Additional resources"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/gitops_cli_argocd_reference"",""Chapter 2. Logging in to the Argo CD server in the default mode"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/gitops_cli_argocd_reference"",""2.1. Logging in to the Argo CD server"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/gitops_cli_argocd_reference"",""2.2. Additional resources"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/gitops_cli_argocd_reference"",""Chapter 3. GitOps argocd CLI reference"")",,,,,,
